country,party_family,id,created_at,updated_at,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,foundation_date,dissolution_date,data_source,description,comment,data_json,country_id,family_id
AUS,lib,2907,2024-08-15 07:29:47.135000,2024-08-15 07:29:47.136000,LDP,Liberal Democratic Party,Liberal Democratic Party,Liberal Democratic Party,,https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(Australia),2001-07-01,,,New party formed in 2001.,,{},33,6
AUS,lib,1927,2024-08-15 07:29:44.819000,2024-08-15 07:29:44.821000,LDP-NSW,Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),,http://en.wikipedia.org/wiki/Liberal_Democrat_Party_%28Australia%29,1943-04-16,,,Party formed on 16 April 1943 as split from United Australia Party (UAP).,,{},33,6
AUS,soc,303,2024-08-15 07:29:42.112000,2024-08-15 07:29:42.113000,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,,http://en.wikipedia.org/wiki/Lang_Labour_Party,,,,Lang Labour Party (LLP) split from and joined Australian Labor Party (ALP) three times.,,{},33,11
AUS,lib,154,2024-08-15 07:29:41.862000,2024-08-15 07:29:41.863000,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,,http://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland,2008-07-26,,,,,{},33,6
AUS,con,2286,2024-08-15 07:29:45.601000,2024-08-15 07:29:45.602000,LP,Liberal Party,Liberal Party,Liberal Party,,http://en.wikipedia.org/wiki/Liberal_Party_%281922%29,1922-07-01,,,,,{},33,26
AUS,con,1411,2024-08-15 07:29:44.086000,2024-08-15 07:29:44.087000,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,,http://en.wikipedia.org/wiki/Liberal_Party_of_Australia,1945-08-31,,,,,{},33,26
AUS,right,1905,2024-08-15 07:29:44.781000,2024-08-15 07:29:44.783000,NAT,Nationalist Party of Australia,Nationalist Party of Australia,Nationalist Party of Australia,,http://en.wikipedia.org/wiki/Nationalist_Party_of_Australia,1917-02-07,1931-07-01,,,,{},33,40
AUS,con,184,2024-08-15 07:29:41.899000,2024-08-15 07:29:41.900000,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,,http://en.wikipedia.org/wiki/National_Party_of_Australia,,,,,,{},33,26
AUS,code,1918,2024-08-15 07:29:44.806000,2024-08-15 07:29:44.807000,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),,,,,,,,"{""information_needed"": ""party origin""}",33,28
AUS,soc,2003,2024-08-15 07:29:44.904000,2024-08-15 07:29:44.906000,NL,National Labor,National Labor,National Labor,,http://en.wikipedia.org/wiki/National_Labor_Party,1916-11-14,1917-02-17,hug-68,,,{},33,11
AUS,lib,2630,2024-08-15 07:29:46.421000,2024-08-15 07:29:46.422000,NXT,Nick Xenophon Team,Nick Xenophon Team,Nick Xenophon Team,,https://en.wikipedia.org/wiki/Nick_Xenophon_Team,2013-07-01,,,New party formed on 1 July 2013. ,,{},33,6
AUS,right,386,2024-08-15 07:29:42.282000,2024-08-15 07:29:42.284000,ONP,One Nation Party,One Nation Party,One Nation Party,,http://en.wikipedia.org/wiki/Pauline_Hanson%27s_One_Nation,,,,Party formed on 11 April 1997 as split from Liberal Party (LP). Pauline Hanson was disendorsed as a LP federal candidate and formed the party. ,,{},33,40
AUS,code,1936,2024-08-15 07:29:44.832000,2024-08-15 07:29:44.833000,OPA,One Parliament for Australia,One Parliament for Australia,One Parliament for Australia,,http://en.wikipedia.org/wiki/One_Parliament_for_Australia,,,,,,"{""information_needed"": ""party origin""}",33,28
AUS,con,1898,2024-08-15 07:29:44.772000,2024-08-15 07:29:44.773000,PP,Protectionist Party,Protectionist Party,Protectionist Party,,http://en.wikipedia.org/wiki/Protectionist_Party,1889-07-01,1909-07-01,,,,{},33,26
AUS,lib,2259,2024-08-15 07:29:45.532000,2024-08-15 07:29:45.534000,PUAP,Palmer United Australia Party,Palmer United Australia Party,Palmer United Australia Party,,http://en.wikipedia.org/wiki/Palmer_United_Party,2013-04-01,,,New party formed in April 2013.,,{},33,6
AUS,con,1928,2024-08-15 07:29:44.822000,2024-08-15 07:29:44.824000,QC,Queensland Country Party,Queensland Country Party,Queensland Country Party,,,,,,,,"{""information_needed"": ""party origin""}",33,26
AUS,spec,1911,2024-08-15 07:29:44.790000,2024-08-15 07:29:44.791000,SCP,Social Credit Party,Social Credit Party,Social Credit Party,Social Credit Party,http://en.wikipedia.org/wiki/Social_Credit_Party_%28Australia%29,,,,Also known as Douglas Credit Party.,,"{""information_needed"": ""party origin""}",33,16
AUS,com,1908,2024-08-15 07:29:44.787000,2024-08-15 07:29:44.788000,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),State Labor Party (NSW),,http://en.wikipedia.org/wiki/State_Labor_Party,,,,,,{},33,14
AUS,code,1897,2024-08-15 07:29:44.768000,2024-08-15 07:29:44.770000,SPA,Services Party of Australia,Services Party of Australia,Services Party of Australia,,http://en.wikipedia.org/wiki/Services_Party_of_Australia,,,,,,"{""information_needed"": ""party origin""}",33,28
AUS,con,1912,2024-08-15 07:29:44.793000,2024-08-15 07:29:44.795000,UAP,United Australia Party,United Australia Party,United Australia Party,,http://en.wikipedia.org/wiki/United_Australia_Party,1931-07-01,1945-07-01,,United Australia Party (UAP) was formed by a merger of Nationalist Party of Australia (NAP) and Labor Party (ALP) defectors.,,{},33,26
AUS,con,1920,2024-08-15 07:29:44.812000,2024-08-15 07:29:44.814000,VCP,Victorian Country Party,Victorian Country Party,Victorian Country Party,,,,,,Victoria branch of the country party,,"{""information_needed"": ""party origin""}",33,26
AUS,agr,1929,2024-08-15 07:29:44.825000,2024-08-15 07:29:44.827000,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,Victorian Farmers' Union,,http://en.wikipedia.org/wiki/Victorian_Farmers_Union,1917-07-01,,,New party formed in 1917.,,{},33,2
AUS,lib,1906,2024-08-15 07:29:44.784000,2024-08-15 07:29:44.786000,WAP,Western Australian Party,Western Australian Party,Western Australian Party,,http://en.wikipedia.org/wiki/Western_Australian_Party,1906-07-01,,,New party formed in 1906. ,,{},33,6
AUS,none,2057,2024-08-15 07:29:45.005000,2024-08-15 07:29:45.006000,no-seat,no seat,no seat,no seat,,,,,,Largest party that won no seats in an election and less than one percent vote share.,Only coded if there are no other observations for the party. Party name included in 'description' of election result.,{},33,12
AUS,none,1396,2024-08-15 07:29:44.067000,2024-08-15 07:29:44.068000,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,{},33,12
AUS,none,2299,2024-08-15 07:29:45.641000,2024-08-15 07:29:45.642000,one-seat,one seat,one seat,one seat,,,,,,Parties that won one seat in a single election and less than one percent vote share.,,{},33,12
AUT,eco,1739,2024-08-15 07:29:44.580000,2024-08-15 07:29:44.582000,ALO,Alternative List Austria,Alternative Liste Österreichs,Alternative Liste Oesterreichs,,http://de.wikipedia.org/wiki/Alternative_Liste_%C3%96sterreichs,1982-03-21,,,New party formed on 21 March 1982.,Party run as Green Alternatives-Democratic List (GAL) in 1986 election winning only 0.1% vote share.,{},59,19
AUT,lib,2688,2024-08-15 07:29:46.571000,2024-08-15 07:29:46.572000,BD,Centrist Democrats,Bürgerliche Demokraten,Buergerliche Demokraten,,https://en.wikipedia.org/wiki/Centrist_Democrats,,,,,,{},59,6
AUT,right,1536,2024-08-15 07:29:44.275000,2024-08-15 07:29:44.276000,BZO,Alliance for the Future of Austria,Bündnis Zukunft Österreich,Buendnis Zukunft Oesterreich,,http://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria,,,,,,{},59,40
AUT,chr,1752,2024-08-15 07:29:44.604000,2024-08-15 07:29:44.606000,CSA,Christian Social Alliance (Karl Habsburg List),Christlich Soziale Allianz (Liste Karl Habsburg),Christlich Soziale Allianz (Liste Karl Habsburg),,https://en.wikipedia.org/wiki/Karl_von_Habsburg,,,,,,{},59,3
AUT,lib,2675,2024-08-15 07:29:46.536000,2024-08-15 07:29:46.537000,DD,German-Democrats,Deutschdemokraten,Deutschdemokraten,,https://en.wikipedia.org/wiki/German_Democrats,,,,,,{},59,6
AUT,right,1743,2024-08-15 07:29:44.587000,2024-08-15 07:29:44.588000,DFP,Democratic Progressive Party,Demokratische Fortschrittliche Partei,Demokratische Fortschrittliche Partei,,https://en.wikipedia.org/wiki/Democratic_Progressive_Party_(Austria),,,,,"""one-person protest movement"", ""populist program"", ""employed ultranationalist (and even anti-Semitic) appeals"" (McHale 1983, 35)",{},59,40
AUT,con,2672,2024-08-15 07:29:46.526000,2024-08-15 07:29:46.527000,DNP,German-Nationals,Deutschnationale,Deutschnationale,,https://en.wikipedia.org/wiki/German-National_Party,,,,,,{},59,26
AUT,right,2684,2024-08-15 07:29:46.558000,2024-08-15 07:29:46.560000,DNSAP,National Socialist Workers' Party,Nationalsozialistische Arbeiterpartei,Nationalsozialistische Arbeiterpartei,,https://de.wikipedia.org/wiki/Deutsche_Nationalsozialistische_Arbeiterpartei_(%C3%96sterreich),1918-05-01,,,,,"{""predecessor"": {""name_english"": ""German Workers' Party"", ""name"": ""Deutsche Arbeiterpartei""}, ""new_party"": false}",59,40
AUT,spec,1745,2024-08-15 07:29:44.593000,2024-08-15 07:29:44.595000,DU,The Independents -- Lugner's List,Die Unabhängigen – Liste Lugner,Die Unabhaengigen -- Liste Lugner,,http://en.wikipedia.org/wiki/The_Independents_%28Austria%29,1998-07-01,,,New party formed in 1998. ,,{},59,16
AUT,con,2673,2024-08-15 07:29:46.529000,2024-08-15 07:29:46.531000,DVP,German People's Party,Deutsche Volkspartei,Deutsche Volkspartei,,https://en.wikipedia.org/wiki/German_People%27s_Party_(Austria),1896-07-01,,,,,{},59,26
AUT,spec,2340,2024-08-15 07:29:45.756000,2024-08-15 07:29:45.757000,EU-STOP,"EU Withdrawal, Direct Democracy, Neutrality","EU-Austritt, Direkte Demokratie, Neutralität","EU-Austritt, Direkte Demokratie, Neutralitaet",,,2014-01-25,,apa,Electoral alliance announced on 25 January 2014.,,{},59,16
AUT,right,50,2024-08-15 07:29:41.665000,2024-08-15 07:29:41.667000,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,,http://en.wikipedia.org/wiki/Freedom_Party_of_Austria,1949-03-26,,,New party formed on 26 March 1949.,,{},59,40
AUT,soc,1746,2024-08-15 07:29:44.598000,2024-08-15 07:29:44.600000,Fritz,The Citizens' Forum Austria,Bürgerforum Österreich – Liste Fritz Dinkhauser,Buergerforum Oesterreich -- Liste Fritz Dinkhauser,,http://en.wikipedia.org/wiki/Citizens'_Forum_Austria,2008-07-01,,,New party formed in 2008. ,,{},59,11
AUT,con,2674,2024-08-15 07:29:46.533000,2024-08-15 07:29:46.534000,GDVP,Greater German People's Party,Großdeutsche Volkspartei,Grossdeutsche Volkspartei,,https://en.wikipedia.org/wiki/Greater_German_People%27s_Party,1920-08-08,,,,"""party of (...) bureaucracy, business elements, and the urban middle class"" (McHale 1983, 46).",{},59,26
AUT,right,2676,2024-08-15 07:29:46.539000,2024-08-15 07:29:46.541000,GFOP,German Freedom and Order Party,Deutsche Freiheits und Ordnungspartei,Deutsche Freiheits und Ordnungspartei,,https://en.wikipedia.org/wiki/German_Freedom_and_Order_Party,1919-07-01,,,,,{},59,40
AUT,spec,2652,2024-08-15 07:29:46.491000,2024-08-15 07:29:46.492000,GILT,My Vote Counts!,Liste Roland Düringer – Meine Stimme GILT,Liste Roland Dueringer -- Meine Stimme GILT,,https://en.wikipedia.org/wiki/My_Vote_Counts!,2016-08-14,,,New party formed on 14 August 2016.,,{},59,16
AUT,eco,1429,2024-08-15 07:29:44.120000,2024-08-15 07:29:44.122000,Gruene,The Greens -- The Green Alternative,Die Grünen – Die Grüne Alternative,Die Gruenen -- Die Gruene Alternative,,http://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative,1986-09-20,,,,,{},59,19
AUT,right,2685,2024-08-15 07:29:46.562000,2024-08-15 07:29:46.563000,HB,Homeland Block,Heimatblock,Heimatblock,,https://de.wikipedia.org/wiki/Heimatblock,1930-07-01,,,New party formed in 1930. Political arm of the paramilitary Heimwehr movement.,,{},59,40
AUT,agr,2678,2024-08-15 07:29:46.546000,2024-08-15 07:29:46.547000,KB,Carinthian Farmers' Association,Kärtner Bauernbund,Kartner Bauernbund,,https://en.wikipedia.org/wiki/Carinthian_Farmers%27_Association,,,,,"""(...) when Landbund was formed, the major part of agrarian parties and groups joined it."" (Mulej 2017, 140)",{},59,2
AUT,com,769,2024-08-15 07:29:43.001000,2024-08-15 07:29:43.002000,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,Kommunistische Partei Oesterreichs,,http://en.wikipedia.org/wiki/Kommunistische_Partei_%C3%96sterreichs,,,,,,"{""new_party"": false}",59,14
AUT,right,2681,2024-08-15 07:29:46.552000,2024-08-15 07:29:46.554000,L,Rural Federation,Landbund für Österreich,Landbund fuer Oesterreich,,https://en.wikipedia.org/wiki/Landbund,1920-06-26,,,"Styrian Farmers' Party (Steirische Bauernpartei) and Carinthian Farmers' Association (Kärntner Bauernbund) formed the German-Austrian Peasants' Party (Deutschösterreichische Bauernpartei) on 26 June 1920. The party joined the Germany based National Rural League (Reichs-Landbund) and formed the Rural Federation (Landbund) on 6 December 1922. (Landwehrlen 2009, 25-27)",,{},59,40
AUT,lib,955,2024-08-15 07:29:43.282000,2024-08-15 07:29:43.284000,LIF,Liberal Forum,Liberales Forum,Liberales Forum,,http://en.wikipedia.org/wiki/Liberales_Forum,1993-02-04,,,,,{},59,6
AUT,spec,669,2024-08-15 07:29:42.857000,2024-08-15 07:29:42.859000,Martin,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,Liste Dr. Hans-Peter Martin,,http://en.wikipedia.org/wiki/Hans-Peter_Martin%27s_List,,,,,,{},59,16
AUT,spec,1750,2024-08-15 07:29:44.601000,2024-08-15 07:29:44.603000,N,Citizens' Initiative for the retention of neutrality,Die Neutralen – Bürgerinitiative,Die Neutralen -- Buergerinitiative,,,,,,,,"{""information_needed"": ""party origin""}",59,16
AUT,right,2679,2024-08-15 07:29:46.549000,2024-08-15 07:29:46.551000,NDP,National Democratic Party,Nationaldemokratische Partei,Nationaldemokratische Partei,,,1919-07-01,,,,"""the heterogeneous but pronouncedly anti-Semitic Greater German People’s Party (Grossdeutsche Volkspartei), whose key founding group were the Viennese National Democrats (Nationaldemokraten)."" (Mulej 2017)",{},59,40
AUT,lib,2255,2024-08-15 07:29:45.519000,2024-08-15 07:29:45.520000,NEOS,NEOS -- The New Austria,NEOS – Das Neue Österreich,NEOS -- Das Neue Oesterreich,,http://en.wikipedia.org/wiki/NEOS_%E2%80%93_The_New_Austria,2012-10-27,,,New party formed on 27 October 2012.,,{},59,6
AUT,spec,1744,2024-08-15 07:29:44.590000,2024-08-15 07:29:44.591000,Nein,No -- Citizens' Initiative against EU membership,Nein – Bürgerinitiative gegen die EU Mitgliedschaft,Nein -- Buergerinitiative gegen die EU Mitgliedschaft,,,,,,,,"{""information_needed"": ""party origin""}",59,16
AUT,chr,1013,2024-08-15 07:29:43.403000,2024-08-15 07:29:43.405000,OVP,Austrian People's Party,Österreichische Volkspartei,Oesterreichische Volkspartei,,http://en.wikipedia.org/wiki/Austrian_People%27s_Party,1891-07-01,,,,,{},59,3
AUT,eco,2651,2024-08-15 07:29:46.487000,2024-08-15 07:29:46.489000,PILZ,JETZT -- Pilz List,JETZT – Liste Pilz,JETZT -- Liste Pilz,,https://en.wikipedia.org/wiki/Peter_Pilz_List,2017-07-26,,,,,{},59,19
AUT,con,2339,2024-08-15 07:29:45.753000,2024-08-15 07:29:45.754000,REKOS,The Reform Conservatives,Die Reformkonservativen – REKOS,Die Reformkonservativen -- REKOS,,http://en.wikipedia.org/wiki/The_Reform_Conservatives,2013-12-23,,apa,,,{},59,26
AUT,agr,2677,2024-08-15 07:29:46.542000,2024-08-15 07:29:46.544000,SBP,Styrian Farmers' Party,Steirische Bauernpartei,Steirische Bauernpartei,,https://en.wikipedia.org/wiki/Styrian_Farmers%27_Party,,,,,"""(...) when Landbund was formed, the major part of agrarian parties and groups joined it."" (Mulej 2017, 140)",{},59,2
AUT,soc,973,2024-08-15 07:29:43.322000,2024-08-15 07:29:43.324000,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,Sozialdemokratische Partei Oesterreichs,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria,1889-01-01,,,,,{},59,11
AUT,spec,2689,2024-08-15 07:29:46.574000,2024-08-15 07:29:46.575000,T,Czechoslovakians,Tschechoslowaken,Tschechoslowaken,,,,,,"Electoral alliance of all Czechoslovak parties.
",,{},59,16
AUT,lib,2150,2024-08-15 07:29:45.223000,2024-08-15 07:29:45.224000,TS,Team Stronach,Team Stronach,Team Stronach,,http://en.wikipedia.org/wiki/Team_Stronach,2012-09-25,,apa,New party formed on 25 September 2012 gaining parliamentary status on 8 November 2012 after five BZÖ MPs crossed the floor.,,{},59,6
AUT,chr,2683,2024-08-15 07:29:46.555000,2024-08-15 07:29:46.557000,UV,"Udeverband, Association against Corruption","Udeverband, Bund gegen Korruption","Udeverband, Bund gegen Korruption",,https://de.wikipedia.org/wiki/Ude-Verband,1927-07-01,,,New party formed in 1927.,,{},59,3
AUT,eco,1740,2024-08-15 07:29:44.583000,2024-08-15 07:29:44.585000,VGO,United Greens Austria,Vereinte Grüne Österreichs,Vereinte Gruene Oesterreichs,,http://de.wikipedia.org/wiki/Vereinte_Gr%C3%BCne_%C3%96sterreichs,1982-07-01,,,New party formed in 1982.,,{},59,19
AUT,right,2699,2024-08-15 07:29:46.602000,2024-08-15 07:29:46.603000,WB,Economic bloc,Wirtschaftsblock,Wirtschaftsblock,,,1923-07-01,,,"Electoral allicance of Great Germans (""Großdeutsche"") and Rural Federation (""Landbund"").",,{},59,40
AUT,none,2687,2024-08-15 07:29:46.568000,2024-08-15 07:29:46.569000,etc,others,others,others,,,,,,,,{},59,12
AUT,none,2055,2024-08-15 07:29:44.998000,2024-08-15 07:29:45,no-seat,no seat,no seat,no seat,,,,,,Largest party that won no seats in an election and less than one percent vote share.,Only coded if there are no other observations for the party. Party name included in 'description' of election result.,{},59,12
AUT,none,272,2024-08-15 07:29:42.062000,2024-08-15 07:29:42.064000,none,no party affiliation,Parteilose,Parteilose,,,,,,,,{},59,12
AUT,none,2686,2024-08-15 07:29:46.565000,2024-08-15 07:29:46.566000,one-seat,one-seat,one-seat,one-seat,,,,,,Parties that won one seat in a single election and less than one percent vote share.,,{},59,12
BEL,eco,1594,2024-08-15 07:29:44.385000,2024-08-15 07:29:44.387000,AGL-Gr,Agalev -- Green,Agalev – Groen,Agalev -- Groen,,http://en.wikipedia.org/wiki/Anders_Gaan_Leven,1979-07-01,,,,,{},64,19
BEL,soc,167,2024-08-15 07:29:41.874000,2024-08-15 07:29:41.875000,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,,http://en.wikipedia.org/wiki/Belgian_Socialist_Party,,,,,,{},64,11
BEL,soc,2422,2024-08-15 07:29:45.989000,2024-08-15 07:29:45.990000,BWP-POB,Belgian Labour Party,Belgische Werkliedenpartij – Parti Ouvrier Belge,Belgische Werkliedenpartij -- Parti Ouvrier Belge,,http://en.wikipedia.org/wiki/Belgian_Labour_Party,,,,,,{},64,11
BEL,chr,2564,2024-08-15 07:29:46.235000,2024-08-15 07:29:46.236000,CD,Catholic Dissidents,Catholic Dissidents,Catholic Dissidents,,,,,,,,"{""information_needed"": ""party origin""}",64,3
BEL,chr,972,2024-08-15 07:29:43.319000,2024-08-15 07:29:43.321000,CD+NVA,Christian-Democrat and Flemish / New Flemish Alliance,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party,2004-06-13,2008-09-21,,Christian-Democrats (CD&V) and New Flemish Alliance (NVA) formed a cartel for European Parliament and regional elections on 13 June 2004 and for the national election on 10 June 2007. The two parties formed a joined parliamentary group after the 2007 election from which the New Flemish Alliance (NVA) withdrew on 21 September 2008.,,{},64,3
BEL,chr,119,2024-08-15 07:29:41.799000,2024-08-15 07:29:41.802000,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,,http://en.wikipedia.org/wiki/CSP-EVP,,,,,,{},64,3
BEL,chr,2481,2024-08-15 07:29:46.141000,2024-08-15 07:29:46.143000,CV,Christian Peoples' Party [Daens],Christene Volkspartij,Christene Volkspartij,,,1893-04-15,,,New party formed on 15 April 1893. ,,{},64,3
BEL,chr,723,2024-08-15 07:29:42.932000,2024-08-15 07:29:42.933000,CVP|CD&V,Flemish Christian Peoples Party | Christian Democrats & Flemish,Christelijke Volkspartij | Christen-Democratisch en Vlaams,Christelijke Volkspartij | Christen-Democratisch en Vlaams,,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party,,,,,,{},64,3
BEL,chr,2569,2024-08-15 07:29:46.251000,2024-08-15 07:29:46.253000,DC, Christian Democrats,Démocrates Chrétiens,Democrates Chretiens,,,,,,,,"{""information_needed"": ""party origin""}",64,3
BEL,right,2368,2024-08-15 07:29:45.840000,2024-08-15 07:29:45.842000,DLB,"Belgians, Rise Up!",Debout Les Belges!,Debout Les Belges!,,http://en.wikipedia.org/wiki/Debout_Les_Belges!,2013-07-01,,,New party formed in 2013.,,{},64,40
BEL,eco,161,2024-08-15 07:29:41.868000,2024-08-15 07:29:41.869000,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,,http://en.wikipedia.org/wiki/Ecolo,,,,,,{},64,19
BEL,lib,969,2024-08-15 07:29:43.316000,2024-08-15 07:29:43.318000,FDF,Francophone Democratic Front,Front Démocratique des Francophones | DéFI,Front Democratique des Francophones,,http://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ralistes_D%C3%A9mocrates_Francophones,1964-05-11,,,,,{},64,6
